,2222.SR,2222.SR,2222.SR,2222.SR,2222.SR,2222.SR,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,2222.SR,2222.SR,2222.SR,2222.SR
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,SMA20,SD20,BollHIGH,BollLOW,SMA20,SD20,BollHIGH,BollLOW
Date,,,,,,,,,,,,,,,,,,,,
2023-10-12,33.5,33.75,33.20000076293945,33.70000076293945,33.70000076293945,11432858.0,180.07000732421875,182.33999633789062,179.0399932861328,180.7100067138672,180.7100067138672,56608967.0,175.33650131225585,3.1469808455583594,181.63046300337257,169.04253962113913,34.099999618530276,0.45421989960345555,35.008439417737186,33.191559819323366
2023-10-11,34.0,34.0,33.45000076293945,33.54999923706055,33.54999923706055,8177747.0,178.1999969482422,179.85000610351562,177.60000610351562,179.8000030517578,179.8000030517578,47551100.0,175.0880012512207,2.885713358126153,180.859427967473,169.3165745349684,34.08749961853027,0.4690063996036909,35.02551241773766,33.14948681932289
2023-10-10,33.599998474121094,34.04999923706055,33.45000076293945,34.0,34.0,14806577.0,178.10000610351562,179.72000122070312,177.9499969482422,178.38999938964844,178.38999938964844,43698000.0,174.80850143432616,2.6677903394161584,180.14408211315848,169.47292075549385,34.07499961853027,0.4870695532980896,35.04913872512645,33.100860511934094
2023-10-09,33.54999923706055,33.650001525878906,33.25,33.599998474121094,33.599998474121094,13495768.0,176.80999755859375,179.0500030517578,175.8000030517578,178.99000549316406,178.99000549316406,42390800.0,174.70400161743163,2.558824214389397,179.82165004621044,169.58635318865282,34.0649995803833,0.4907297732657707,35.04645912691484,33.08354003385176
2023-10-08,33.400001525878906,33.54999923706055,33.150001525878906,33.54999923706055,33.54999923706055,7559795.0,,,,,,,,,,,34.09249973297119,0.47855993580993544,35.049619604591065,33.13537986135132
2023-10-06,,,,,,,173.8000030517578,177.99000549316406,173.17999267578125,177.49000549316406,177.49000549316406,57224100.0,174.722501373291,2.5925571447054847,179.90761566270197,169.53738708388005,,,,
2023-10-05,33.75,33.75,33.45000076293945,33.45000076293945,33.45000076293945,11866305.0,173.7899932861328,175.4499969482422,172.67999267578125,174.91000366210938,174.91000366210938,48527900.0,174.7570007324219,2.6355570804348813,180.02811489329164,169.48588657155213,34.12249984741211,0.4612552759293561,35.04501039927082,33.199989295553394
2023-10-04,34.0,34.04999923706055,33.650001525878906,33.79999923706055,33.79999923706055,10975391.0,171.08999633789062,174.2100067138672,170.97000122070312,173.66000366210938,173.66000366210938,53020300.0,174.8895004272461,2.709236824845166,180.30797407693643,169.47102677755578,34.14999980926514,0.43468066910886494,35.01936114748287,33.28063847104741
2023-10-03,34.20000076293945,34.29999923706055,34.0,34.04999923706055,34.04999923706055,19661588.0,172.25999450683594,173.6300048828125,170.82000732421875,172.39999389648438,172.39999389648438,49594600.0,175.35200042724608,3.2281492508851577,181.8082989290164,168.89570192547578,34.16499977111816,0.4270768545221691,35.0191534801625,33.31084606207382
2023-10-02,34.650001525878906,34.75,34.150001525878906,34.29999923706055,34.29999923706055,14139534.0,171.22000122070312,174.3000030517578,170.92999267578125,173.75,173.75,52164500.0,176.21700057983398,4.47321949561549,185.16343957106497,167.270561588603,34.177499771118164,0.42719235693645913,35.03188448499108,33.323115057245246
2023-10-01,35.0,35.0,35.0,35.0,35.0,0.0,,,,,,,,,,,34.18499984741211,0.43075811598015723,35.046516079372424,33.32348361545179
2023-09-29,,,,,,,172.02000427246094,173.07000732421875,170.33999633789062,171.2100067138672,171.2100067138672,51814200.0,177.00250091552735,5.316979081558043,187.63645907864344,166.36854275241126,,,,
2023-09-28,34.849998474121094,35.150001525878906,34.79999923706055,35.0,35.0,36859450.0,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400.0,177.83550033569335,5.655955152188129,189.1474106400696,166.5235900313171,34.179999923706056,0.4212763002518253,35.02255252420971,33.337447323202404
2023-09-27,34.150001525878906,34.849998474121094,34.0,34.849998474121094,34.849998474121094,20015714.0,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800.0,178.68349990844726,5.797870857739341,190.27924162392594,167.08775819296858,34.17249984741211,0.40700275516145845,34.98650535773503,33.3584943370892
2023-09-26,33.900001525878906,34.400001525878906,33.75,34.25,34.25,17426833.0,174.82000732421875,175.1999969482422,171.66000366210938,171.9600067138672,171.9600067138672,64588900.0,179.36800003051758,5.5760536570992185,190.52010734471602,168.21589271631913,34.13499984741211,0.374552411581437,34.884104670574985,33.38589502424924
2023-09-25,34.04999923706055,34.29999923706055,33.75,33.95000076293945,33.95000076293945,16105497.0,174.1999969482422,176.97000122070312,174.14999389648438,176.0800018310547,176.0800018310547,46172700.0,179.77949981689454,5.297297199865466,190.37409421662548,169.1849054171636,34.14999980926514,0.3852545400947956,34.92050888945473,33.37949072907555
2023-09-22,,,,,,,174.6699981689453,177.0800018310547,174.0500030517578,174.7899932861328,174.7899932861328,56725400.0,179.90599975585937,5.234134891601163,190.3742695390617,169.43772997265705,,,,
2023-09-21,34.25,34.349998474121094,33.849998474121094,34.099998474121094,34.099998474121094,15356309.0,174.5500030517578,176.3000030517578,173.86000061035156,173.92999267578125,173.92999267578125,63047900.0,179.98550033569336,5.16394333211522,190.3133869999238,169.6576136714629,34.19249973297119,0.4082294839600889,35.00895870089137,33.376040765051016
